"id","clinic_name_th","clinic_name_en","alias","xeomin_flag","belotero_flag","ulthera_flag","province","district","website","facebook","tel","latitude","longtitude","xeomin","x_beauty","belotero","skin_radiance","ulthera"
25,"ออเธนทิคคลินิก","Authentic clinic","ออเธนทิคคลินิก","N","N","N","กรุงเทพมหานคร","เขตคลองเตย","http://www.authenticclinic.com/","https://web.facebook.com/authenticclinic?_rdc=1&_rdr","02 712 2127",13.9083471,100.5365084,"Y","N","N","N","N"
26,"อวิกาคลินิก","Awika clinic","อวิกาคลินิก","N","N","N","กรุงเทพมหานคร","เขตดินแดง","http://www.awikaclinic.com","https://www.facebook.com/Awikaclinic/","087-377-6688",13.7662178,100.5694055,"Y","Y","N","N","Y"
27,"เอยาคลินิก","Aya clinic","เอยาคลินิก","N","N","N","กรุงเทพมหานคร","เขตประเวศ","http://www.ayaskinclinic.com/","https://www.facebook.com/ayaclinic/","02 939 3995",13.8129464,100.5622652,"Y","N","N","N","N"
28,"บีเบลคลินิค","B Bell Clinic","บีเบลคลินิค","N","N","N","กรุงเทพมหานคร","เขตบางพลัด","","https://www.facebook.com/bbellclinic/","02 881 8887",13.777873,100.478,"N","N","Y","N","N"
29,"เบญจบริรักษ์เวช คลินิก","B Well Clinic","เบญจบริรักษ์เวช คลินิก","N","N","N","กรุงเทพมหานคร","เขตพญาไท","","https://www.facebook.com/BWellClinicAri/","02 279 9591",13.7800742,100.5451372,"Y","N","Y","N","Y"
30,"โรงพยาบาลกรุงเทพ","Bangkok Hospital @ Bangkok","โรงพยาบาลกรุงเทพ","N","N","N","กรุงเทพมหานคร","เขตห้วยขวาง","https://www.bangkokhospital.com/","https://www.facebook.com/BangkokHospital/","02-310-3000",13.7492451,100.5834962,"Y","N","Y","N","Y"
31,"โรงพยาบาลกรุงเทพ หัวหิน","Bangkok Hospital @ Hua Hin","โรงพยาบาลกรุงเทพ หัวหิน","N","N","N","ประจวบคีรีขันธ์","หัวหิน","https://www.bangkokhospital.com/huahin/","https://www.facebook.com/Bangkokhospitalhuahin/","032-616-800",12.5541702,99.9609052,"N","N","N","N","Y"
32,"โรงพยาบาลกรุงเทพ สมุย","Bangkok Hospital @ Samui","โรงพยาบาลกรุงเทพ สมุย","N","N","N","สุราษฎร์ธานี","เกาะสมุย","http://www.bangkokhospitalsamui.com/Site/","https://www.facebook.com/BSHFanClub/","077-429-500",9.5143737,100.049328,"N","N","N","N","Y"
33,"โรงพยาบาล BNH","Bangkok Nursing Home Hospital (BNH hospital)","โรงพยาบาล BNH","N","N","N","กรุงเทพมหานคร","เขตบางรัก","http://www.bnhhospital.com","","02 686 2700",13.724958,100.535071,"N","N","N","N","Y"
34,"บีเอสแอลคลินิก","Bangkok Skin and Laser Center","บีเอสแอลคลินิก","N","N","N","กรุงเทพมหานคร","เขตบางรัก","http://www.bslclinic.com","https://www.facebook.com/bslclinic","02 235 8858",13.728089,100.536026,"Y","N","Y","Y","Y"
35,"โอเอชเอ็ม คลินิก สาขา 101 true digital park","OHM Clinic @ Whizdom101","โอเอชเอ็ม คลินิก สาขา 101 true digital park","N","N","N","กรุงเทพมหานคร","เขตพระโขนง","","https://www.facebook.com/ohmclinic","085-188-8855/02-009-",13.685181,100.6111826,"Y","Y","Y","Y","Y"
36,"โอเอชเอ็ม คลินิก สาขา เกษตร-นวมินทร์","OHM Clinic @ Nirvana@work kaset nawamin","โอเอชเอ็ม คลินิก สาขา เกษตร-นวมินทร์","N","N","N","กรุงเทพมหานคร","เขตบึงกุ่ม","","https://www.facebook.com/ohmclinic","085 168 5656/02 068",13.815408,100.6377486,"Y","Y","Y","Y","Y"
37,"โรงพยาบาลบางปะกอก 9 อินเตอร์เนชันแนล","Bangpakok 9 international Hospital","โรงพยาบาลบางปะกอก 9 อินเตอร์เนชันแนล","N","N","N","กรุงเทพมหานคร","เขตจอมทอง","http://www.bangpakokhospital.com","https://www.facebook.com/BPK9HOSPITAL/","02 109 9111",13.6817869,100.4745914,"N","N","N","N","Y"
38,"บัณฑิตาคลินิก","Bantita Clinic","บัณฑิตาคลินิก","N","N","N","กรุงเทพมหานคร","เขตบึงกุ่ม","http://www.bantitaclinic.com/","https://www.facebook.com/bantitaclinic/","02 947 8925",13.8109191,100.654161,"N","N","Y","N","N"
40,"นาการ่า คลินิก","Nagara Clinic","นาการ่า คลินิก","N","N","N","กรุงเทพมหานคร","เขตคลองเตย","http://www.beautiplexbkk.com","https://www.facebook.com/beautiplexbeautycenter/","02 259 6662-3",13.7204156,100.5677451,"Y","N","N","N","Y"
41,"บิวทีค คลินิก","Beautique clinic","บิวทีค คลินิก","N","N","N","กรุงเทพมหานคร","เขตจตุจักร","","https://www.facebook.com/BeautiqueBKK/","02 075 6446",13.8565336,100.5857692,"Y","N","Y","N","N"
42,"บิวทิส คลินิค","BEAUTISE Clinic","บิวทิส คลินิค","N","N","N","นนทบุรี","เมืองนนทบุรี","","https://www.facebook.com/Beautise-Clinic-งามวงศ์วาน-176328652414967/","086 331 8411",13.85652,100.5405905,"Y","N","Y","N","N"
43,"บิวตี้ วีว่า คลินิก","BEAUTY VIVA Clinic","บิวตี้ วีว่า คลินิก","N","N","N","กรุงเทพมหานคร","เขตวัฒนา","","https://www.facebook.com/Beautyvivaclinic/","02 714 2565",13.7233144,100.5843015,"Y","N","N","N","N"
44,"เบลลาจคลินิก","Belage clinic","เบลลาจคลินิก","N","N","N","นนทบุรี","ปากเกร็ด","http://www.belageclinic.com/","https://www.facebook.com/belageaestheticclinic/","083 602 7778",13.8891051,100.5521579,"Y","N","Y","N","N"
45,"เบลล่าคลินิก","BELLA Clinic","เบลล่าคลินิก","N","N","N","กรุงเทพมหานคร","","","https://www.facebook.com/BellaClinicBangkok/","",13.7354694,100.5615899,"N","N","Y","N","N"
47,"เดอะ บิวตี้ฮับ คลินิกเวชกรรม","BHC clinic","เดอะ บิวตี้ฮับ คลินิกเวชกรรม","N","N","N","สุพรรณบุรี","เมืองสุพรรณบุรี","","https://www.facebook.com/BeautyHubClinic/","035-451-684/ 095-525",14.4723647,100.1287753,"Y","N","Y","N","N"
48,"บลิ๊งคลินิก","Blink clinic by dr.mai","บลิ๊งคลินิก","N","N","N","กรุงเทพมหานคร","เขตวัฒนา","https://clinicblink.com/","https://www.facebook.com/blinkclinic","02-6408181",13.7398828,100.5633391,"N","N","Y","N","N"
49,"บางกอกเลเซอร์คลินิก","Bangkok Laser Clinic  (Sukhumvit39)","บางกอกเลเซอร์คลินิก","N","N","N","กรุงเทพมหานคร","เขตวัฒนา","http://www.bangkoklaser.com/","https://www.facebook.com/Bangkoklaser","02 260 2561-3",13.736485,100.57431,"N","N","N","N","Y"
50,"แคนดี้ คลินิก","Candy Clinic","แคนดี้ คลินิก","N","N","N","นครราชสีมา","เมืองนครราชสีมา","","https://www.facebook.com/Candyclinic-988994867848466/","098 953 8888",14.9630638,102.0668205,"Y","N","N","N","N"
51,"เซ็นทรัลเลเซอร์คลินิก","Central laser clinic","เซ็นทรัลเลเซอร์คลินิก","N","N","N","ขอนแก่น","เมืองขอนแก่น","http://www.centrallaserclinic.com","https://www.facebook.com/centrallaserclinic.bum/","085 000 0527/043 288",16.4329165,102.8266374,"N","N","Y","N","Y"
52,"ชลิดาคลินิก by หมออุ๋ม","Chalida Clinic","ชลิดาคลินิก by หมออุ๋ม","N","N","N","กรุงเทพมหานคร","เขตบางขุนเทียน","","https://www.facebook.com/pg/chalida.clinic2015/about/","081 542 4051",13.9129702,100.5906835,"N","N","Y","N","N"
53,"ชาเมอร์ คลินิก","Charmer clinic","ชาเมอร์ คลินิก","N","N","N","กรุงเทพมหานคร","เขตดินแดง","http://charmerclinic.com/","https://www.facebook.com/charmerclinic2you","085-9192768/02692339",13.7976382,100.5742801,"N","N","Y","N","N"
54,"เชอรี่ คลินิกเวชกรรม","Cherie Aesthetic clinic","เชอรี่ คลินิกเวชกรรม","N","N","N","กรุงเทพมหานคร","","http://cherieclinic.com/th/","https://www.facebook.com/CherieClinic/","02 835 3784",13.6945825,100.6392399,"N","N","N","N","Y"
55,"รพ.เชียงใหม่ราม","Chiangmai Ram Hospital","รพ.เชียงใหม่ราม","N","N","N","เชียงใหม่","เมืองเชียงใหม่","http://www.chiangmairam.com/","https://www.facebook.com/chiangmairam.hospital","053-920-300",18.7949311,98.9776933,"N","N","N","N","Y"
56,"ชีวาศรม อินเตอร์เนชั่นแนล เฮลท์ รีสอร์ท","Chiva-Som International Health Resort","ชีวาศรม อินเตอร์เนชั่นแนล เฮลท์ รีสอร์ท","N","N","N","ประจวบคีรีขันธ์","หัวหิน","http://www.chivasom.com","https://www.facebook.com/ChivaSomResort","02 711 6900-12",12.539692,99.964932,"N","N","N","N","Y"
57,"ชลลดาคลินิก","Chonlada Clinic","ชลลดาคลินิก","N","N","N","กรุงเทพมหานคร","เขตบางขุนเทียน","","https://www.facebook.com/ChonladaClinic/","02 451 0898",NULL,NULL,"Y","N","N","N","N"
58,"รพ.จุฬาลงกรณ์","Chulalongkorn Hospital","รพ.จุฬาลงกรณ์","N","N","N","กรุงเทพมหานคร","เขตปทุมวัน","http://chulalongkornhospital.go.th/kcmh/","https://www.facebook.com/ChulalongkornHospital/?fref=ts","02 256 4000",13.7324333,100.5365971,"N","N","N","N","Y"
59,"ซีแอลซีคลินิกเวชกรรม","CLC clinic","ซีแอลซีคลินิกเวชกรรม","N","N","N","อุบลราชธานี","เมืองอุบลราชธานี","https://www.celeblaserclinic.com/","https://www.facebook.com/celeblaserclinic/","090-091-7722",13.728151,100.580863,"N","N","Y","N","N"
60,"คลินิแคร์ คลินิก","CLINI CARE Clinic","คลินิแคร์ คลินิก","N","N","N","กรุงเทพมหานคร","เขตพญาไท","","https://www.facebook.com/ClinicareChariya/","081-615-1914/087-615",13.7782003,100.5468082,"Y","N","N","N","N"
61,"คลินิกนีโอ","Clinic Neo","คลินิกนีโอ","N","N","N","กรุงเทพมหานคร","เขตบางนา","http://www.clinicneo.co.th","https://www.facebook.com/clinicneo/","02 653 2211-12",13.6794092,100.6094305,"N","N","N","N","Y"
62,"ซีเอ็นด์คลินิกเวชกรรม","CN CLINIC","ซีเอ็นด์คลินิกเวชกรรม","N","N","N","นนทบุรี","ปากเกร็ด","","https://www.facebook.com/CNClinic/","095 423 9782",13.9114428,100.5528314,"Y","N","Y","N","N"
64,"เลอเฟซ คลินิก","Le face clinic","เลอเฟซ คลินิก","N","N","N","กรุงเทพมหานคร","เขตปทุมวัน","","https://www.facebook.com/lefaceclinic/","081 8100181",13.7400993,100.5251002,"N","N","N","N","Y"
65,"ดานันท์คลินิกเวชกรรม","Danan Clinic","ดานันท์คลินิกเวชกรรม","N","N","N","กรุงเทพมหานคร","เขตคลองสาน","","","090 8945945",13.7094198,100.5004117,"Y","N","Y","N","N"
66,"เดอร์มาพลัส คลินิกเวชกรรม","Derma plus clinic","เดอร์มาพลัส คลินิกเวชกรรม","N","N","N","ภูเก็ต","เมืองภูเก็ต","http://www.dermaplusphuket.com/","https://www.facebook.com/dermaplusphuket","076-354350",7.883763,98.3881754,"Y","N","Y","N","N"
67,"เดอมาสลิมคลินิค","Derma slim clinic","เดอมาสลิมคลินิค","N","N","N","ภูเก็ต","เมืองภูเก็ต","http://www.dermaslimclinic.com/","https://www.facebook.com/dermaslimclinic/","076-523079",7.9022464,98.4019661,"N","N","Y","N","N"
68,"เดอมาสเตอร์","Dermaster Wellness & Aesthetic  Institution","เดอมาสเตอร์","N","N","N","กรุงเทพมหานคร","เขตวัฒนา","http://www.dermaster-thailand.com","https://www.facebook.com/dermasterthailand/","02 714 4471",13.7345854,100.5880578,"N","N","N","N","Y"
69,"เดอร์มาติกส์คลินิค","Dermatik Clinic","เดอร์มาติกส์คลินิค","N","N","N","กรุงเทพมหานคร","เขตปทุมวัน","http://www.dermatiksclinic.com/","https://www.facebook.com/Dermatiks/","081-811-8180",13.7440224,100.5328219,"Y","N","Y","N","N"
70,"เดิมแคร์คลินิก","Dermcare Clinic","เดิมแคร์คลินิก","N","N","N","กรุงเทพมหานคร","เขตบางนา","","","02 745 6354",13.668819,100.6344427,"Y","N","N","N","N"
71,"คลินิกเฉพาะทางด้านเวชกรรมผิวหนังเดิมไวส์","Dermwise Skin and Laser Clinic","คลินิกเฉพาะทางด้านเวชกรรมผิวหนังเดิมไวส์","N","N","N","กรุงเทพมหานคร","เขตดินแดง","http://www.dermwiseclinic.com","https://www.facebook.com/dermwiseclinic/","098 909 9999",13.7641546,100.5682693,"N","N","Y","N","Y"
72,"เดอร์วาน่า คลินิก","DERWANA CLINIC","เดอร์วาน่า คลินิก","N","N","N","กรุงเทพมหานคร","เขตวังทองหลาง","https://www.derwanaclinic.com/","https://www.facebook.com/DerwanaClinic/","090 324 2264",13.791935,100.6207741,"Y","N","N","N","N"
73,"DH clinic","DH clinic","DH clinic","N","N","N","กรุงเทพมหานคร","","","","",NULL,NULL,"N","N","Y","N","N"
74,"ดีย่าคลินิก","DIAA (Doctor in Aesthetics Art) Clinic","ดีย่าคลินิก","N","N","N","เชียงใหม่","เมืองเชียงใหม่","http://www.diaaclinic.com","https://www.facebook.com/DIAAClinicDrDanai/","053 216 882/094 518",18.7990136,98.9684595,"Y","Y","Y","Y","Y"
75,"ดีโอคลินิก","Dio Clinic","ดีโอคลินิก","N","N","N","กรุงเทพมหานคร","เขตดินแดง","https://www.dioclinic.com/","https://www.facebook.com/dioclinic/","02 050 9748",13.7728128,100.5725968,"Y","N","Y","N","N"
76,"Diva Clinic","Diva Clinic","Diva Clinic","N","N","N","กรุงเทพมหานคร","เขตห้วยขวาง","","https://www.facebook.com/divaclinicthailand/","02-203-1430",13.7473808,100.5801035,"Y","N","Y","N","N"
77,"ดีวานาคลินิก","DIVANA CLINIC","ดีวานาคลินิก","N","N","N","กรุงเทพมหานคร","เขตบางรัก","http://www.divanaclinic.com/","https://www.facebook.com/DivanaClinic/","02 630 0499",13.720906,100.521082,"N","N","Y","N","N"
78,"ดีมอร์ คลินิก","Dmor Clinic","ดีมอร์ คลินิก","N","N","N","กรุงเทพมหานคร","เขตจตุจักร","http://www.dmorclinic.com","https://www.facebook.com/DmorClinic/","092 341 3634",13.821716,100.575605,"N","N","N","N","Y"
79,"คลินิกหมอเอก","Doctor Ake clinic","คลินิกหมอเอก","N","N","N","สงขลา","หาดใหญ่","http://www.doctorakeclinic.com/","https://www.facebook.com/doctorakeclinic/","02 985 6371",13.7061684,100.3508304,"Y","N","N","N","N"
80,"หมอออมคลินิก","Doctor Omm Clinic","หมอออมคลินิก","N","N","N","ตรัง","เมืองตรัง","","https://www.facebook.com/pages/หมอออมคลินิก/151627765019243","075 214 691",7.5497015,99.6143109,"N","N","N","N","Y"
81,"ด็อกเตอร์ไลฟ์ คลินิก ฟิวเจอร์ปาร์ค รังสิต","Doctor Life Clinic @Future Park Rangsit","ด็อกเตอร์ไลฟ์ คลินิก ฟิวเจอร์ปาร์ค รังสิต","N","N","N","ปทุมธานี","ธัญบุรี","http://www.doctorlifeclinic.com","https://www.facebook.com/doctorlifeclinic/","02-958-0534-5",13.98908,100.6180265,"N","N","N","N","Y"
82,"บ้านหมอเนตร คลินิกเวชกรรม","Doctor Nate Clinic","บ้านหมอเนตร คลินิกเวชกรรม","N","N","N","กรุงเทพมหานคร","เขตบางเขน","","https://www.facebook.com/Doctornateclinic","02 347 0565",13.856057,100.643123,"N","N","N","N","Y"
83,"Doctor Poom clinic","Doctor Poom clinic","Doctor Poom clinic","N","N","N","ชัยนาท","เมืองชัยนาท","","https://www.facebook.com/Dumbo.Naka.12/?fref=nf","056 410 833",15.1746023,100.1270003,"Y","N","Y","N","N"
84,"Doctor Tattof","Doctor Tattoff","Doctor Tattof","N","N","N","กรุงเทพมหานคร","เขตจตุจักร","https://drtattof.com/","https://www.facebook.com/dr.tattof/","02-632-0079",13.8159684,100.5599967,"Y","N","Y","N","N"
85,"คลินิกหมอต้น","Doctor Ton clinic","คลินิกหมอต้น","N","N","N","กรุงเทพมหานคร","เขตวังทองหลาง","http://www.doctortonclinic.com/","https://www.facebook.com/doctortonclinic/","098 656 3635",13.7682101,100.5971577,"N","N","Y","N","Y"
86,"ญาดา คลินิก","Doctor Yada Clinic","ญาดา คลินิก","N","N","N","ชลบุรี","บางละมุง","http://www.doctoryadaclinic.com/","https://www.facebook.com/doctorYada/","061 840 7007",12.93659,100.891767,"Y","Y","Y","Y","Y"
87,"ด็อกเตอร์หยง คลินิก","Doctor Yong Clinic (Chiang Rai Province)","ด็อกเตอร์หยง คลินิก","N","N","N","เชียงราย","เมืองเชียงราย","","","089-191-1809",19.9030829,99.8327037,"Y","Y","Y","Y","Y"
88,"ด็อกเตอร์ ยังเกอร์ คลินิก","Doctor Younger clinic","ด็อกเตอร์ ยังเกอร์ คลินิก","N","N","N","กรุงเทพมหานคร","เขตวัฒนา","http://www.doctoryounger.com/","https://www.facebook.com/DoctorYoungerFan/","02 665 7057-60",13.7373655,100.5606545,"Y","N","N","N","N"
89,"ดร.พลอย คลินิก","Dr.Ploy Aesthetic Clinic","ดร.พลอย คลินิก","N","N","N","กรุงเทพมหานคร","เขตลาดพร้าว","http://www.doctorploy.com","https://www.facebook.com/dr.ployclinic/","086-969-9459",13.837532,100.6293844,"Y","N","Y","N","N"
90,"คลินิกหมอดนัยย์ เชียงใหม่","Dr. Danai Aesthetic Clinic","คลินิกหมอดนัยย์ เชียงใหม่","N","N","N","เชียงใหม่","เมืองเชียงใหม่","http://www.dr-danai.com","https://www.facebook.com/Dr.Danaiaesthetic/","053 141 157",18.7591807,99.0120615,"Y","Y","Y","Y","Y"
91,"ดร.ณัฐฐ์ คลินิก","Dr. Natt Clinic","ดร.ณัฐฐ์ คลินิก","N","N","N","กรุงเทพมหานคร","เขตวัฒนา","http://www.drnattclinic.com/","https://www.facebook.com/Dr-Natt-Clinic","02 254 9451",13.744762,100.5535285,"N","N","N","N","Y"
92,"ด็อกเตอร์แบงค์ คลินิค","DR.BANK CLINIC","ด็อกเตอร์แบงค์ คลินิค","N","N","N","กรุงเทพมหานคร","เขตดินแดง","","https://www.facebook.com/Dr.BankClinic/","091 004 2777",13.798404,100.574266,"Y","N","N","N","N"
93,"คลินิกหมอแคท","Dr.Cat Clinic","คลินิกหมอแคท","N","N","N","ชุมพร","เมืองชุมพร","","https://www.facebook.com/คลินิกหมอแคท-242971852554102/","0827967376",NULL,NULL,"N","N","Y","N","N"
94,"ด๊อกเตอร์อิสิคลินิก","Dr.isi Clinic","ด๊อกเตอร์อิสิคลินิก","N","N","N","กรุงเทพมหานคร","เขตคลองสาน","","https://www.facebook.com/pages/Drisi-Clinic/461287067544159","064 949 6388",13.723211599999999,100.4920744,"N","N","Y","N","N"
95,"หมอคัมภีร์ คลินิก","DR.KAMPEE CLINIC","หมอคัมภีร์ คลินิก","N","N","N","กรุงเทพมหานคร","เขตดินแดง","","https://www.facebook.com/pg/drkampee/photos/","092 540 2255",13.7991523,100.5763506,"Y","N","N","N","N"
96,"คลินิกหมอนริทธิ์-หมอพิลัมภา","Dr.Narit- Dr.Pilumpa Clinic","คลินิกหมอนริทธิ์-หมอพิลัมภา","N","N","N","ชุมพร","เมืองชุมพร","http://www.naritpilumpaclinic.com","https://www.facebook.com/คลินิกหมอนริทธ์-หมอพิลัมภา-304494336233940/","077-570414/081-32617",10.5003677,99.1835494,"N","N","Y","N","N"
97,"หมอนุ่นคลินิกสระบุรี","DR.NUNE CLINIC","หมอนุ่นคลินิกสระบุรี","N","N","N","สระบุรี","เมืองสระบุรี","","https://www.facebook.com/doctornuneclinic/","036 212 898",14.5319588,100.9120658,"Y","N","Y","N","N"
98,"ดร.อรคลินิก","Dr.Orn clinic","ดร.อรคลินิก","N","N","N","กรุงเทพมหานคร","เขตจตุจักร","http://www.drornclinic.com/th/","https://www.facebook.com/Dr.ornclinic/","087 330 1268",13.8215141,100.5651826,"N","N","Y","N","N"
99,"คลินิกหมอภูมิ-หมอเฟิร์น","Dr.Phum-Dr.Fern Clinic","คลินิกหมอภูมิ-หมอเฟิร์น","N","N","N","ลพบุรี","เมืองลพบุรี","","https://www.facebook.com/คลินิกหมอภูมิ-หมอเฟิร์น-1263440297009186/","097 208 0955",NULL,NULL,"Y","Y","Y","Y","N"
100,"ด็อกเตอร์สุปราณี คลินิก","Dr.Supranee Clinic","ด็อกเตอร์สุปราณี คลินิก","N","N","N","กรุงเทพมหานคร","เขตวัฒนา","http://www.drsupranee.com","https://www.facebook.com/DrSupraneeClinic/","086 533 1130/098-829",13.730198,100.581155,"N","N","N","N","Y"
101,"ด็อกเตอร์ทีม คลินิกเวชกรรม","Dr.Team Clinic","ด็อกเตอร์ทีม คลินิกเวชกรรม","N","N","N","เพชรบุรี","เมืองเพชรบุรี","http://www.doctorteamclinic.com/drteam/","https://www.facebook.com/doctorteamclinic/","081 941 4821",13.0906319,99.9503257,"N","N","Y","N","N"
102,"แพทย์หญิงฐิติมาคลินิก","Dr.Thitima Medical & Aesthetic Clinic","แพทย์หญิงฐิติมาคลินิก","N","N","N","อุบลราชธานี","เมืองอุบลราชธานี","","https://www.facebook.com/drthitimaclinic","097 329 9352",15.2299517,104.8651021,"Y","N","Y","Y","Y"
